Title,URL,概要
シーイーシーがRPA導入支援サービスを開始、トライアル導入は30万円 ...,https://it.impressbm.co.jp/articles/-/15176,2017/10/19 - システム構築会社のシーイーシー（CEC）は2017年10月19日、RPAテクノロジーズのRPA（ロボットによる業務自動化）ソフト「BizRobo!」を活用してユーザー企業の業務を自動化するSIサービス「RPA導入支援サービス」を同日付けで開始したと発表した。レガシーシステムを改修して再生するITリノベーションサービス「Re@nove」の1メニューとして提供する。
ニュース解説 - データ入力だけじゃない、IBMとソフトバンクがRPAの新 ...,http://itpro.nikkeibp.co.jp/atcl/column/14/346926/110201188/,2017/11/07 - 定型業務にとどまらない、より高度なRPA活用サービスが登場した。人工知能（AI）との連携を段階的に強化。業務プロセスの課題を指摘して改善策まで示すことを目指す。
ASCII.jp：RPA導入の先行企業が抱える“悩み”と解決策、アビームが解説 ...,http://ascii.jp/elem/000/001/601/1601938/,2017/12/12 - アビームコンサルティングが、国内企業のRPA導入に関する最新動向調査の結果を発表した。さらに、先行導入企業がRPA本格導入フェーズに入る中で抱える課題と、その解決策についても説明した。 (1/2)
【財務用語解説シリーズ】RPA（財務管理業務の手作業の自動化） | Kyriba,https://www.kyriba.jp/dictionary-j/rpa-j,財務管理の分野でもRPAという単語が聞かれるようになってきました。コンサルティング会社等も財務部門へRPAの提案を始めています。ITの用語ですが、今までシステム化されていなかった作業が自動化でき、ホワイトカラーの生産性が著しく向上すると注目を浴び、実績も出てきている技術です。 グローバル財務管理業務でこの技術を適用すると単純作業がなくなり、財務に係る意思決定により注力できるようになります。しかし、財務管理業務の中にはRPAによる自動化について注意が必要なものもあります。
人手不足解消や生産性向上に効果。RPAは企業と個人を幸せにするか ...,https://news.yahoo.co.jp/byline/yatsuzukaeri/20171121-00078395/,2017/11/21 - 働き方改革の流れの中で業務の生産性をいかに上げるか、あるいは深刻な人手不足をどう乗り越えるか、そんな課題を抱えている企業から、このところ熱い視線を浴びているのがRPA（Robotic Process Automation）です。 「2日間かかっていた事務処理が30分でできるように」――といった圧倒的な効果が喧伝されるRPAとは一体どのようなものでしょうか？基本的な解説の後、導入に当たって懸念されることや、結局それは企業と個人を幸せにするものなのか？を考えてみたいと思います。
【RPAとは(1)】WinActorが指示書作成業務を代行・自動化 - YouTube,https://www.youtube.com/watch?v=JMcXNuu07OU,
≪RPAを導入しなさい！とトップに言われたら？≫働き方改革を成功させる ...,https://www.hulft.com/event/rpa1212,2017/12/12 - トップから「すぐにRPAを導入しなさい」と言われたものの、どうしたらいいかわからず思案されている方もおられるのではないでしょうか。 「人間のPC操作をそのまま自動化ツールで自動化する」、解りやすいこの取り組み方だけで十分に成果が上がればよいのですが、残念ながら実際には必ずしもそうではないようです。弊社での「業務自動化の取り組み」で実際に起こったことも紹介しながら、実際に「業務改善の成果」を上げるためには「どう考え」ればよいのか、また「RPAツール」や「その他の業務を改善 ...
業務の効率が劇的に向上する「RPA」とは - クロス・ヘッド株式会社,https://www.crosshead.co.jp/blog/rpa-introduction/,2017/12/01 - 最近、ソフトウェアロボットによって業務を自動化する「RPA」が注目を集めています。本記事では特徴やメリット、できることについて解説。自由度が高い「ROBOWARE」とその機能をご紹介します。
｢RPA｣は､すでに人を代替し始めている | RPA | 東洋経済オンライン | 経済 ...,http://toyokeizai.net/articles/-/177413,「RPA」という言葉に触れる機会が増えています。そもそも「RPA」とはどういったものなのでしょうか。信國◉「RPA（Robotic Process Automation）」は、「ロボット」という名前ではありますが、工場の生産ライ…
【RPAとは(1)】WinActorが指示書作成業務を代行・自動化 - YouTube,https://www.youtube.com/watch?v=JMcXNuu07OU,
RPA導入・定着化支援サービス｜コムチュア株式会社,https://www.comture.com/bigdata/rpa.html,お客様の業務に合わせた最適なRPA導入し、業務効率化・働き方改革の推進を支援します。UiPath・NICE・BluePrism・WinActorなど様々なRPAツールでの対応が可能。
「RPAは業務改善の救世主となるか？」 | 株式会社オージス総研,http://www.ogis-ri.co.jp/rad/webmaga/1264405_6728.html,最近RPA (Robotic Process Automation) という言葉をよく耳にするようになりました。簡単に言うと、パソコンに向かって作業をしている人の代わりに、ロボット（ソフトウェアでできている）が自動的に作業を行ってくれるというものです。例えば、社内システムの出力データを表計算ソフトに取り込み、見やすいグラフを作成したうえで、ワープロソフトに貼り付けて報告書を作成する（実際にはもっと複雑）などが簡単に実現できるそうです。もちろん、ロボットツールの導入と作業を覚え込ませ（プログラミングに相当）、検証することは ...
RPA（ロボティック・プロセス・オートメーション）｜EYアドバイザリー・アンド ...,https://www.eyadvisory.co.jp/services/rpa/,RPA＝Robotic Process Automation とは. ソフトウェア・ロボットを活用して、企業におけるホワイトカラー業務の自動化を実現します。 オペレーターが行う作業を自動化して再現; 画面から情報を取得し、マウスクリックや文字入力を行うなど、既存のユーザーインターフェースを利用; ビジネスルールに基づく簡単な判断処理が可能; 大部分を占める簡単なタスクを自動化することで、人間は残った複雑なタスクへ集中. ソフトウェア・ロボットという新たな「労働力」が、作業担当者の業務を補完・代替して業務プロセスの ...
RPAで20人月分の工数を自動化、オリックスが大きな成果を出せたワケ ...,https://www.sbbit.jp/article/cont1/34372,2017/12/19 - RPAで20人月分の工数を自動化、オリックスが大きな成果を出せたワケ. リース事業を起点に法人金融や不動産、事業投資など幅広いビジネスを展開するオリックスグループは2009年、前年に発生したリーマンショックを受けて、バックオフィス／ミドルオフィスの改革というテーマを打ち出した。それに伴い、同グループのシェアードサービスセンターとして活動するオリックス・ビジネスセンター沖縄（以下、OBCO）では、生産性革新を目指すプロジェクトに着手、労働時間の削減や働き手の多様化など大きな ...
RPAソリューション Windows操作ロボット Winactor | 丸紅情報システムズ,http://www.marubeni-sys.com/winactor/,Winactorはアプリケーションへの繰り返し入力をRPAにより自動化するAIロボットです。
定型業務自動化支援サービス(RPA)| リコー,https://www.ricoh.co.jp/solution/rpa/,【リコー公式サイト】定型業務自動化支援サービス(RPA)についてご紹介しています。
Robotic Process Automation（RPA）－その価値と監査での活用事例 ...,https://www.shinnihon.or.jp/shinnihon-library/publications/issue/info-sensor/2017-10-09.html,ソフトウエア・ロボットによって企業のホワイトカラー業務を自動化し、その生産性向上を図るRobotic Process Automation（RPA）とは何か、新日本有限責任監査法人の事例を紹介しつつ、RPA導入に当たっての留意点、業務効率化におけるRPAの位置付けについて解説します。
ホワイトカラー職場で活用進むRPA、導入に潜む意外な落とし穴,https://newswitch.jp/p/11207,2017/12/01 - データ取得や入力、確認などの作業を人間の代わりに行う、ロボティック・プロセス・オートメーション（RPA）が広がり始めた。画像認識や自動応答といった分野では人工知能（AI）の活用も進む。世界的にホワイトカラーの生産性が低いとされる日本で、RPAやAIは企業の生産性向上や働き方改革に欠かせない手段となる。活用状況と課題を探った。 人手不足…自動化広がる. 納品データの管理リポートへのRPA導入では、これまで人力で行っていたデータのとりまとめや修正、リポートの作成をロボットに ...
"RPA革命の衝撃 | 大角 暢之, 佐々木 俊尚 |本 | 通販 | Amazon",https://www.amazon.co.jp/RPA%E9%9D%A9%E5%91%BD%E3%81%AE%E8%A1%9D%E6%92%83-%E5%A4%A7%E8%A7%92-%E6%9A%A2%E4%B9%8B/dp/4492961240,"Amazonで大角 暢之, 佐々木 俊尚のRPA革命の衝撃。アマゾンならポイント還元本が多数。大角 暢之, 佐々木 俊尚作品ほか、お急ぎ便対象商品は当日お届けも可能。またRPA革命の衝撃もアマゾン配送商品なら通常配送無料。"
TIS、業務効率化と生産性向上に向けたRPA導入を支援する『TIS RPA ...,https://www.tis.co.jp/news/2017/tis_news/20171122_1.html,2017/11/22 - TISインテックグループの TIS株式会社（本社：東京都新宿区、代表取締役社長：桑野 徹、以下 TIS）は、企業の業務効率化と生産性向上に向けたRPA (Robotic Process Automation)ツールを、ニーズに合わせて選定し導入の支援を行う『TIS RPAソリューション』を提供開始することを発表します。 『TIS RPAソリューション』は、ホワイトカラーの業務効率化・生産性向上といった各社の課題に合わせてRPAツールを選定し、基幹システムとの連携や導入後の運用を意識して、PoC（概念実証）、構想策定支援 ...
AI+RPAプラットフォーム | 株式会社豆蔵,https://www.mamezou.com/services/strategic/ai_rpa_os,AI+RPAプラットフォーム. 「次世代型ボットエンジン」に「ロボティクスプラットフォーム」の技術を融合した、これまでに無い全く新しい「豆蔵AI+RPA(開発中)」により、利用者は対話型UIである「チャットツール」から「キーボード入力」や「音声入力」で、各ロボットに対して様々な業務を指示することが可能となります。 AI_RPAプラットフォーム_概要 ...
WinActor - ウィンアクター 働き方改革を支援するRPA,http://winactor.com/,WinActor(ウィンアクター)は純国産のRPAツールです。Windows上のアプリケーションを、WinActorがユーザに代わって操作し、繰り返し入力などの定型的な業務を自動化します。操作を定義するシナリオはプログラミングの知識が無い方でも作成でき、スモールスタートでヒューマンエラーや作業時間の改善を実践できます。
NDSインフォス株式会社－RPA－,http://www.nds-infos.co.jp/03-1-5-1.html,RPA(ロボティック プロセス オートメーション)とは. 産業用ロボットが人の作業を代行するように、パソコンを使用して複数のデータから新たな帳票を作成したり、複数のソフトウェアを扱っての編集作業等、従来は人が介在していた横断的な業務までを人に代わって完全自動化することからソフトウェア・ロボットとも言われ、その自動化の取組みをRPAといいます。 ホワイトカラー業務の効率化・自動化が行え、社員が知的生産活動により多くの時間を活用できることから、働き方改革を加速する注目のソフトウェアです。 大量かつ ...
NICEロボティック・プロセス・オートメーション(RPA),https://www.nice.com/websites/rpa/jp/index.html,NICE RPAでは全自動と半自動のロボットを組み合わせて、煩雑な業務から従業員を解放しカスタマーエクスペリエンスの向上を支援します。さらにデスクトップ分析により現在の業務状況の可視化します。
RPAソリューション | MDIS,http://www.mdis.co.jp/products/rpa/,RPA（Robotic Process Automation）による業務の効率化・自動化を支援するソリューションです。
RPA: Rubin Postaer and Associates | Los Angeles Ad Agency,https://www.rpa.com/,"RPA is an independent, full-service advertising agency located in Santa Monica, California. Explore our work, our culture, and our people-first approach."
IM-RPA｜NTTデータイントラマート,https://www.intra-mart.jp/products/iap/im-rpa/,個人のルーティン業務を自動化するRPAと、複数システムを跨る複雑な業務プロセスを可視化・効率化するBPM/ワークフローを組み合わせることで、業務全般の自動化・生産性向上を実現します。 定型的な作業及びルールに基づく人間の判断作業をロボットの自動実行に任せ、それらの実行結果をBPM/ワークフローによって業務プロセス全般へ受け渡すことができます。 業務オペレーションの大幅な効率化や自動化、業務品質向上・コスト削減など、ビジネス全般における効果が期待できます。 RPAとは？ RPA（ロボ ...
